node_name,node_type,node_position,parent,weight
LostArtist,developer,766.2897776629939|706.9781828408569|318.072108427516,apache/camel,7.35
igarashitm,developer,453.4397570002993|276.96446542192075|377.04706308765975,apache/camel,6.92
apupier,developer,962.3743312184231|576.6503211835811|482.5810637279903,apache/camel,6.92
alex-nt,developer,773.0939334415774|756.2606905196045|547.4669903344181,apache/camel,6.9
hboutemy,developer,696.7601059545002|667.1476593687498|610.1048079235593,apache/camel,6.7
sdurrenmatt,developer,863.412033942812|257.3594400581643|532.9177247089301,apache/camel,6.48
grgrzybek,developer,774.3934779185872|389.7206165397913|459.5769660978839,apache/camel,6.39
marcingrzejszczak,developer,883.7818009633285|396.0795578063545|688.6841956048534,apache/camel,5.29
llowinge,developer,877.6940113362479|654.1442824150482|329.3538015464539,apache/camel,5.99
VaishnaviR18,developer,1039.9518144663105|358.89561380480274|666.1620744276378,apache/camel,5.61
jacekszymanski,developer,771.7460968217183|834.5481117757122|834.2233144780297,apache/camel,5.48
claudio4j,developer,936.8702256376388|471.9337263510263|867.4328286719356,apache/camel,5.29
mcarlett,developer,1004.2994211496813|716.7484661899888|544.588335867604,apache/camel,5.24
rhuan080,developer,788.897555466414|670.0992547437027|666.6543191071137,apache/camel,5.1
apache/cassandra,repo,870.4654168839702|-142.78311452598768|242.6449139461413,,42.21
maedhroz,developer,987.7647103658396|121.98827271174218|494.4064055840406,apache/cassandra,63.55
adelapena,developer,1134.5886251495251|-314.1729698219684|41.50743775287958,apache/cassandra,58.26
smiklosovic,developer,890.7225685291119|137.47673279583046|230.1044712594184,apache/cassandra,50.26
bereng,developer,943.6822837432185|-27.521993686478993|219.34038001333812,apache/cassandra,39.67
michaelsembwever,developer,804.341327554881|32.40028511543727|124.48060377748334,apache/cassandra,39.16
mike-tr-adamson,developer,837.1911049302194|-419.8368128011507|14.88507442640622,apache/cassandra,36.93
Mmuzaf,developer,982.1218477068153|135.5604195311572|50.68111899169128,apache/cassandra,35.28
dcapwell,developer,848.8796308410399|-311.8629700566935|14.630057414172171,apache/cassandra,34.01
jacek-lewandowski,developer,770.1546821765769|155.64087798684784|-43.566747175571095,apache/cassandra,32.05
Maxwell-Guo,developer,613.5267165514294|-138.02984931206822|61.009036868129186,apache/cassandra,29.01
blambov,developer,836.463260262517|-411.24451914420285|165.5762102939882,apache/cassandra,23.42
pkolaczk,developer,1125.3284661687067|-76.66224668333086|9.132960095554438,apache/cassandra,19.89
jmckenzie-dev,developer,823.6997692922861|-231.20530950115196|154.04446995864322,apache/cassandra,18.68
jonmeredith,developer,577.5204738294709|-56.70445029960223|125.51955247154945,apache/cassandra,17.5
driftx,developer,877.2497875544284|-256.1568374681825|256.3137264826516,apache/cassandra,14.55
jakubzytka,developer,893.9595096471069|-288.22489219138635|258.443459488349,apache/cassandra,14.43
ekaterinadimitrova2,developer,1154.8757265246495|-45.291363791128106|90.96907155785144,apache/cassandra,14.14
iamaleksey,developer,650.7428132878248|-41.64092249934714|121.4528133292686,apache/cassandra,14.12
jbellis,developer,591.9820953227284|35.28232817876756|44.54614065401279,apache/cassandra,12.92
Claudenw,developer,770.660482310157|136.98603739282908|-28.538514539486698,apache/cassandra,12.83
